"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","40.084.400","10,62","-5,09%"
"PETR4","Petrobras","35.720.000","31,81","-1,36%"
"COGN3","Cogna","31.249.900","3,28","+2,82%"
"AZUL4","Azul","29.391.800","1,23","+0,00%"
"B3SA3","B3","27.585.100","13,40","+1,36%"
"CSAN3","Cosan","24.951.500","6,28","+1,29%"
"RAIZ4","Raízen","24.787.900","1,03","+0,00%"
"ABEV3","Ambev","21.050.900","12,41","-0,40%"
"VAMO3","Grupo Vamos","20.152.900","3,57","-2,99%"
"RAIL3","Rumo","20.121.600","15,65","+2,76%"
"ITSA4","Itaúsa","19.557.800","11,46","+0,70%"
"ITUB4","Itaú Unibanco","18.567.400","38,89","+0,57%"
"BBAS3","Banco do Brasil","17.908.100","22,12","+0,05%"
"BBDC4","Banco Bradesco","17.152.900","17,59","+1,03%"
"JHSF3","JHSF","15.858.200","6,45","+2,71%"
"RADL3","RaiaDrogasil","15.732.800","18,10","+1,74%"
"VALE3","Vale","15.580.200","57,28","+0,33%"
"BRKM5","Braskem","15.168.800","6,66","-5,13%"
"CPLE6","Copel","14.617.300","12,89","+1,90%"
"MRVE3","MRV","14.519.200","7,22","-1,23%"
"ASAI3","Assaí","13.813.700","9,44","+0,96%"
"PETR3","Petrobras","12.887.100","34,32","-1,89%"
"PCAR3","Grupo Pão de Açúcar","12.386.200","4,36","+0,23%"
"CMIG4","Cemig","12.359.000","11,28","+0,18%"
"VBBR3","Vibra Energia","11.710.800","24,65","+1,90%"
"ELET3","Eletrobras","11.333.000","52,68","+3,93%"
"ISAE4","ISA Energia","10.655.900","24,95","+2,42%"
"CSNA3","Siderúrgica Nacional","9.482.100","8,04","+0,63%"
"LREN3","Lojas Renner","9.310.100","15,76","-0,38%"
"CVCB3","CVC","7.857.200","1,97","+0,00%"
"PRIO3","PetroRio","7.790.200","38,91","-0,84%"
"ENEV3","Eneva","7.514.300","16,76","+0,60%"
"GGBR4","Gerdau","7.457.600","16,76","+0,84%"
"POMO4","Marcopolo","7.150.500","9,04","-0,55%"
"USIM5","Usiminas","6.906.000","4,39","-0,23%"
"KLBN11","Klabin","6.712.600","17,91","-1,59%"
"BPAC11","Banco BTG Pactual","6.690.500","48,85","+1,69%"
"CMIN3","CSN Mineração","6.580.900","5,52","+3,95%"
"BHIA3","Casas Bahia","6.334.300","4,17","-3,02%"
"AZTE3","AZT Energia","6.184.500","0,41","-4,65%"
"NATU3","NATURA","6.035.200","9,40","+0,00%"
"KLBN4","Klabin","6.010.700","3,58","-1,65%"
"SIMH3","Simpar","5.729.700","5,32","-4,49%"
"TIMS3","TIM","5.561.300","23,11","+1,45%"
"UGPA3","Ultrapar","5.305.900","21,75","+2,40%"
"MOTV3","Motiva","5.285.500","15,01","+1,83%"
"MOVI3","Movida","5.022.500","9,18","-1,29%"
"SUZB3","Suzano","4.990.200","49,17","-0,57%"
"WEGE3","WEG","4.873.200","36,37","+0,39%"
"ECOR3","EcoRodovias","4.849.200","7,86","+0,90%"
"CBAV3","CBA","4.847.300","3,65","-1,88%"
"BRAV3","3R Petroleum","4.830.300","18,16","-0,98%"
"BBDC3","Banco Bradesco","4.742.800","15,05","+1,28%"
"AURE3","Auren Energia","4.683.800","10,32","-0,48%"
"CPLE3","Copel","4.555.800","12,04","+1,78%"
"GOAU4","Metalúrgica Gerdau","4.531.700","9,62","+1,05%"
"GMAT3","Grupo Mateus","4.507.000","6,99","+1,90%"
"RENT3","Localiza","4.435.300","40,06","-0,05%"
"AMBP3","Ambipar","4.379.100","10,75","+21,47%"
"CYRE3","Cyrela","4.355.200","30,64","+0,82%"
"BEEF3","Minerva","4.251.200","6,54","+0,77%"
"EQTL3","Equatorial Energia","4.236.600","37,01","+0,76%"
"EMBR3","Embraer","4.162.600","79,03","-2,19%"
